Date,AAPL,MSFT,TSLA
2020-01-02,72.7960205078125,153.6306915283203,28.68400001525879
2020-01-03,72.08830261230469,151.7177276611328,29.534000396728516
2020-01-06,72.66271209716797,152.10987854003906,30.1026668548584
2020-01-07,72.32096862792969,150.7229766845703,31.270666122436523
2020-01-08,73.48435974121094,153.123779296875,32.80933380126953
2020-01-09,75.04521179199219,155.0367431640625,32.089332580566406
2020-01-10,75.21488952636719,154.31935119628906,31.876667022705078
2020-01-13,76.8218002319336,156.17491149902344,34.990665435791016
2020-01-14,75.78446960449219,155.07498168945312,35.861331939697266
2020-01-15,75.45967102050781,156.07931518554688,34.56666564941406
2020-01-16,76.40491485595703,158.93917846679688,34.232666015625
2020-01-17,77.25077819824219,159.82870483398438,34.03333282470703
2020-01-21,76.72727966308594,159.2548370361328,36.47999954223633
2020-01-22,77.00115966796875,158.48963928222656,37.97066879272461
2020-01-23,77.37196350097656,159.46527099609375,38.14666748046875
2020-01-24,77.14900207519531,157.85836791992188,37.654666900634766
2020-01-27,74.88040161132812,155.2184600830078,37.201332092285156
2020-01-28,76.99871063232422,158.26010131835938,37.793331146240234
2020-01-29,78.61048889160156,160.72781372070312,38.732666015625
2020-01-30,78.49658966064453,165.26153564453125,42.72066879272461
2020-01-31,75.01614379882812,162.822509765625,43.371334075927734
2020-02-03,74.81011199951172,166.7919464111328,52.0
2020-02-04,77.27986907958984,172.2821502685547,59.137332916259766
2020-02-05,77.91001892089844,172.07176208496094,48.97999954223633
2020-02-06,78.82137298583984,175.63941955566406,49.930667877197266
2020-02-07,77.74995422363281,175.88812255859375,49.871334075927734
2020-02-10,78.11921691894531,180.48876953125,51.41866683959961
2020-02-11,77.64794921875,176.41419982910156,51.62533187866211
2020-02-12,79.49188232421875,176.67242431640625,51.15266799926758
2020-02-13,78.92581939697266,175.71595764160156,53.599998474121094
2020-02-14,78.94525909423828,177.2845916748047,53.33533477783203
2020-02-18,77.49972534179688,179.08279418945312,57.22666549682617
2020-02-19,78.62214660644531,179.619873046875,61.16133117675781
2020-02-20,77.8155517578125,176.8768768310547,59.96066665649414
2020-02-21,76.05419158935547,171.2852783203125,60.06666564941406
2020-02-24,72.44158935546875,163.90023803710938,55.58599853515625
2020-02-25,69.98783874511719,161.19561767578125,53.32733154296875
2020-02-26,71.09808349609375,163.20968627929688,51.91999816894531
2020-02-27,66.45053100585938,151.71014404296875,45.266666412353516
2020-02-28,66.41165161132812,155.38348388671875,44.53266525268555
2020-03-02,72.59465789794922,165.72254943847656,49.574668884277344
2020-03-03,70.2890853881836,157.78121948242188,49.70066833496094
2020-03-04,73.54942321777344,163.57415771484375,49.96666717529297
2020-03-05,71.16370391845703,159.46923828125,48.30266571044922
2020-03-06,70.21863555908203,154.9614715576172,46.89866638183594
2020-03-09,64.66490173339844,144.45936584472656,40.53333282470703
2020-03-10,69.32218170166016,154.33802795410156,43.02199935913086
2020-03-11,66.91458892822266,147.34622192382812,42.28200149536133
2020-03-12,60.30644989013672,133.3721923828125,37.369998931884766
2020-03-13,67.53164672851562,152.33355712890625,36.44133377075195
2020-03-16,58.843910217285156,129.88101196289062,29.67133331298828
2020-03-17,61.43129348754883,140.57498168945312,28.68000030517578
2020-03-18,59.927452087402344,134.65737915039062,24.08133316040039
2020-03-19,59.46828079223633,136.8728790283203,28.50933265686035
2020-03-20,55.69290542602539,131.7321014404297,28.50200080871582
2020-03-23,54.50975036621094,130.4181365966797,28.952667236328125
2020-03-24,59.97846603393555,142.27256774902344,33.66666793823242
2020-03-25,59.64805603027344,140.91065979003906,35.95000076293945
2020-03-26,62.78691864013672,149.7247772216797,35.21066665649414
2020-03-27,60.187408447265625,143.5769500732422,34.29066848754883
2020-03-30,61.905033111572266,153.67626953125,33.47533416748047
2020-03-31,61.77870178222656,151.25930786132812,34.93333435058594
2020-04-01,58.5280876159668,145.8883819580078,32.104000091552734
2020-04-02,59.504722595214844,148.90957641601562,30.29800033569336
2020-04-03,58.649559020996094,147.53805541992188,32.000667572021484
2020-04-06,63.7660026550293,158.51010131835938,34.41600036621094
2020-04-07,63.02744674682617,156.80296325683594,36.36333465576172
2020-04-08,64.64060974121094,158.37586975097656,36.589332580566406
2020-04-09,65.10707092285156,158.38546752929688,38.20000076293945
2020-04-13,66.38496398925781,158.7402801513672,43.39666748046875
2020-04-14,69.73759460449219,166.59532165527344,47.32600021362305
2020-04-15,69.10108184814453,164.84976196289062,48.65533447265625
2020-04-16,69.65013885498047,169.7987060546875,49.680667877197266
2020-04-17,68.70507049560547,171.294921875,50.259334564208984
2020-04-20,67.27899932861328,167.89971923828125,49.75733184814453
2020-04-21,65.1993637084961,160.9558563232422,45.781333923339844
2020-04-22,67.07735443115234,166.4226837158203,48.807334899902344
2020-04-23,66.81739807128906,164.4085693359375,47.04199981689453
2020-04-24,68.74639129638672,167.4105987548828,48.34333419799805
2020-04-27,68.79497528076172,166.93101501464844,53.25
2020-04-28,67.67985534667969,162.86444091796875,51.27466583251953
2020-04-29,69.90279388427734,170.17276000976562,53.367332458496094
2020-04-30,71.37748718261719,171.8799591064453,52.12533187866211
2020-05-01,70.22835540771484,167.4297332763672,46.75466537475586
2020-05-04,71.22198486328125,171.5250701904297,50.74599838256836
2020-05-05,72.29097747802734,173.3665771484375,51.2140007019043
2020-05-06,73.03680419921875,175.07374572753906,52.172000885009766
2020-05-07,73.79236602783203,176.0903778076172,52.00266647338867
2020-05-08,75.54876708984375,177.1261749267578,54.62799835205078
2020-05-11,76.73754119873047,179.1019744873047,54.08599853515625
